wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033248100001900,18,2015-08-06,2015-09-22,562.50,1633.86,150
6033465220003947,18,2015-08-07,2015-11-13,136.50,246.70,40
6033248100001922,18,2015-08-07,2015-09-11,1050.00,2184.30,10
6033465220003968,18,2015-08-07,2015-11-17,288.00,613.11,64
6033465220003584,18,2015-08-07,2015-11-21,162.00,326.70,34
6033465220001307,18,2015-08-07,2015-10-28,41.00,308.88,9
6033248100001931,18,2015-08-07,2015-08-20,675.00,1496.20,51
6033465220001363,18,2015-08-10,2015-10-11,170.00,394.12,40
6033465220001367,18,2015-08-11,2015-11-15,170.00,398.00,20
6022169430008350,18,2015-08-13,2015-08-23,50.00,148.82,25
6033248100002001,18,2015-08-14,2015-08-16,114.00,290.50,57
6033248100002011,18,2015-08-16,2015-08-28,206.00,531.12,102
6033468880000562,18,2015-08-17,2015-08-21,520.00,1345.51,197
6033248100002063,18,2015-08-20,2015-09-30,339.50,911.65,97
6022169430008503,18,2015-08-20,2016-01-15,867.50,2332.48,345
6033465220002044,18,2015-08-28,2016-04-25,560.00,1285.32,40
6033465220002241,18,2015-09-03,2015-11-19,140.00,366.02,10
6033465220003964,18,2015-09-08,2016-01-01,243.75,543.10,75
6033465220003288,18,2015-09-08,2015-12-11,33.30,68.25,5
6033465220003587,18,2015-09-08,2015-12-14,532.80,1092.00,80
6033465220003636,18,2015-09-08,2015-12-12,133.20,269.59,20
6033465220003915,18,2015-09-08,2016-04-01,337.50,658.29,73
6033445770015378,18,2015-09-10,2015-11-06,650.00,1473.54,50
6033468880000567,18,2015-09-11,2017-07-01,575.00,479.61,29
6033248100002396,18,2015-09-15,2015-09-26,94.00,236.68,47
6033468880000585,18,2015-09-15,2015-12-08,128.88,271.26,16
6033468880000576,18,2015-09-15,2015-12-10,182.70,375.64,69
6033248100002367,18,2015-09-15,2015-10-23,100.00,235.54,50
6033080140001704,18,2015-09-16,2015-10-04,200.00,399.89,10
6033080140001756,18,2015-09-21,2015-10-30,100.00,284.41,10
6034112450001151,18,2015-09-22,2015-10-09,130.00,536.56,40
6022169430009578,18,2015-09-22,2015-09-26,15.00,34.30,10
6033507870005486,18,2015-09-22,2016-05-28,411.25,927.09,35
6034112450001152,18,2015-09-22,2015-10-24,210.00,824.62,20
6033507870005485,18,2015-09-22,2016-05-16,175.00,423.35,50
6033080140001771,18,2015-09-23,2016-01-18,200.00,282.21,11
6033570130000469,18,2015-09-25,2015-10-02,160.00,590.22,40
6033570130000468,18,2015-09-25,2015-10-01,182.00,475.66,13
6033570130000462,18,2015-09-25,2015-10-16,168.00,470.91,11
6033570130000467,18,2015-09-25,2015-10-05,140.00,317.52,5
6033570130000461,18,2015-09-25,2015-10-01,168.00,317.10,6
6033570130000470,18,2015-09-25,2015-10-23,160.00,549.39,40
6033465220003521,18,2015-09-30,2015-11-14,372.00,898.57,25
6033465220003520,18,2015-09-30,2015-10-15,1.50,1.80,1
6033465220003287,18,2015-09-30,2015-10-29,148.80,367.70,10
6033465220003519,18,2015-09-30,2015-10-19,1.50,1.80,1
6033465220003518,18,2015-09-30,2015-10-19,1.50,1.80,1
6033465220003516,18,2015-09-30,2016-01-03,450.00,1031.51,100
6033465220003517,18,2015-09-30,2015-11-27,325.00,719.19,100
6033465220003536,18,2015-10-01,2015-12-19,207.90,487.36,66
6033465220003315,18,2015-10-06,2016-01-05,49.00,83.48,2
6033080140001835,18,2015-10-06,2015-11-05,600.00,1074.11,27
6033465220003382,18,2015-10-07,2015-10-19,560.00,1242.40,40
6033387250001872,18,2015-10-07,2015-12-06,302.75,696.35,173
6033465220003389,18,2015-10-07,2015-11-09,32.00,5.46,8
6033465220003461,18,2015-10-09,2015-11-04,490.00,1087.10,35
6033465220003469,18,2015-10-09,2015-10-25,122.50,290.10,5
6033465220003513,18,2015-10-12,2016-09-19,560.00,1466.99,41
6033465220003499,18,2015-10-12,2016-02-12,245.00,629.52,11
6033465220003501,18,2015-10-12,2015-10-27,560.00,1328.69,139
6033413470016103,18,2015-10-14,2016-07-03,60.00,199.04,30
6033465220003582,18,2015-10-15,2015-11-14,217.75,456.94,67
6033465220005723,18,2015-10-15,2016-05-24,106.25,187.56,25
6033465220003690,18,2015-10-19,2015-11-21,200.00,487.49,51
6033465220003655,18,2015-10-19,2015-11-26,116.00,258.12,27
6033465220003688,18,2015-10-19,2015-11-23,1030.75,2643.09,95
6033465220003707,18,2015-10-20,2016-01-23,300.00,827.19,101
6033465220003705,18,2015-10-20,2015-10-28,560.00,1242.40,40
6033465220003753,18,2015-10-21,2015-12-01,450.00,1219.00,152
6033240110007793,18,2015-10-22,2015-11-10,112.50,255.75,75
6033240110007819,18,2015-10-24,2016-01-10,787.50,1447.24,91
6033240110007818,18,2015-10-24,2016-01-21,700.00,1201.22,80
6033240110007820,18,2015-10-24,2016-01-20,936.25,1634.58,104
6033240110007821,18,2015-10-24,2016-01-08,455.00,677.30,50
6033240110007823,18,2015-10-24,2016-01-21,621.25,1130.66,71
6033465220003862,18,2015-10-26,2015-11-06,160.00,382.39,40
6033080140002064,18,2015-11-02,2016-06-12,375.00,750.90,25
6033570130000564,18,2015-11-07,2015-11-12,50.00,140.90,10
6033570130000563,18,2015-11-07,2016-01-08,210.00,447.43,12
6033570130000587,18,2015-11-07,2015-11-12,210.00,391.18,12
6033570130000586,18,2015-11-07,2015-11-11,50.00,137.28,10
6033465220004941,18,2015-11-16,2016-04-23,377.00,756.37,116
6033465220004904,18,2015-11-24,2016-02-25,55.00,124.43,10
6034628620000182,18,2015-11-30,2016-03-04,440.00,1056.07,161
6033570130000624,18,2015-12-07,2015-12-22,240.00,680.10,30
6033570130000639,18,2015-12-07,2015-12-23,518.00,1204.42,37
6033570130000655,18,2015-12-07,2016-01-30,240.00,707.06,30
6033465220004840,18,2015-12-09,2016-02-28,303.16,532.48,26
6033465220004889,18,2015-12-10,2016-04-04,258.50,562.25,47
6033465220004945,18,2015-12-11,2016-06-14,100.10,149.86,26
6033465220004923,18,2015-12-11,2016-02-09,291.50,508.58,25
6033465220004945,18,2015-12-11,2016-06-14,100.10,149.86,26
6034347010001868,18,2015-12-18,2015-12-31,900.00,2174.06,90
6033465220005370,18,2015-12-22,2016-06-03,325.00,598.23,90
6033465220005209,18,2015-12-29,2016-05-16,38.50,68.30,10
6033465220005208,18,2015-12-29,2016-03-19,269.60,392.51,20
6033465220005306,18,2015-12-31,2016-05-12,182.00,409.30,8
6033465220005312,18,2015-12-31,2016-03-04,124.25,291.80,5
6033465220005319,18,2016-01-01,2016-03-01,384.40,832.74,124
6033465220005323,18,2016-01-01,2016-03-01,1011.00,1535.99,77
6033465220008064,18,2016-01-05,2016-06-15,450.00,1023.07,150
6033465220005354,18,2016-01-05,2016-04-19,200.20,352.42,52
6033465220005388,18,2016-01-06,2016-02-08,577.50,938.34,55
6033453330003726,18,2016-01-06,2016-02-15,1750.00,3412.99,50
6033453330003156,18,2016-01-07,2016-01-16,1750.00,3370.26,50
6033465220005202,18,2016-01-09,2016-02-06,171.50,341.11,7
6033465220006121,18,2016-01-11,2016-03-21,63.00,146.21,3
6033465220005581,18,2016-01-12,2016-02-07,196.95,397.88,15
6033465220005571,18,2016-01-12,2016-05-15,656.50,1440.21,50
6033465220005539,18,2016-01-12,2016-04-02,120.00,301.01,30
6033465220005561,18,2016-01-12,2016-07-08,639.00,1575.14,48
6033465220005550,18,2016-01-12,2016-08-14,262.50,670.32,20
6033453330003209,18,2016-01-12,2016-01-21,700.00,1365.20,20
6033465220005549,18,2016-01-12,2016-04-19,120.00,304.88,30
6033465220005540,18,2016-01-12,2016-04-04,262.50,668.95,20
